org_name,service_type,org_email,org_descr_en,state_name,org_url,org_phone_no,org_address,operation_hour,org_en,tag,org_en_ms,org_en_ne,org_en_bn,org_en_hi,org_descr_en_bn,org_descr_en_ms,org_descr_en_hi,org_descr_en_ne,tag_ms,tag_ne,tag_bn,tag_hi,service_type_ms,service_type_ne,service_type_bn,service_type_hi
Food Aid Foundation,Other Support,info@foodaidfoundation.org,"Malaysian non-profit food bank rescuing surplus food from companies and individuals, and redistributing it to welfare homes, refugee communities, low-income families, the homeless, and soup kitchens.",Kuala Lumpur Federal Territory,http://foodaidfoundation.org/,+603-9226 5500,"No. 9 Jalan 7/118B, Desa Tun Razak, Cheras, â 56000 Kuala Lumpur, Malaysia",Monday-Friday 09:00-17:00; Saturday 09:00-13:00,Food Aid Foundation,"NGO, food aid, food security, community support, free",Yayasan Bantuan Makanan,खाद्य सहायता फाउन्डेशन (Food Aid Foundation),খাদ্য সহায়তা ফাউন্ডেশন (Food Aid Foundation),खाद्य सहायता नींव (Food Aid Foundation),"মালয়েশিয়ার অলাভজনক খাদ্য ব্যাংক সংস্থা এবং ব্যক্তিদের কাছ থেকে উদ্বৃত্ত খাবার উদ্ধার করে এবং এটি কল্যাণমূলক বাড়ি, শরণার্থী সম্প্রদায়, স্বল্প আয়ের পরিবার, গৃহহীন এবং স্যুপ রান্নাঘরে পুনরায় বিতরণ করে।","Bank makanan bukan keuntungan Malaysia menyelamatkan makanan lebihan dari syarikat dan individu, dan mengedarkan semula ke rumah kebajikan, komuniti pelarian, keluarga berpendapatan rendah, dapur yang tiada tempat tinggal, dan sup.","मलेशियाई गैर-लाभकारी खाद्य बैंक कंपनियों और व्यक्तियों से अधिशेष भोजन को बचाते हैं, और इसे कल्याणकारी घरों, शरणार्थी समुदायों, कम आय वाले परिवारों, बेघर और सूप रसोई के लिए पुनर्वितरित करते हैं।","मलेशियन गैर नाफामुखी खाना बैंकले कम्पनीहरूलाई कम्पनीहरू र व्यक्तिहरू बचाउँछ, र कल्याणकारी घरहरू, शरणार्थी समुदाय, घरबारविहीन र सूप भाँडालाई पुनःनिर्माण गर्दै।","NGO, Bantuan Makanan, Keselamatan Makanan, Sokongan Masyarakat, Percuma","एनजीओ, खाना सहायता, खाद्य सुरक्षा, समुदाय समर्थन, नि: शुल्क","এনজিও, খাদ্য সহায়তা, খাদ্য সুরক্ষা, সম্প্রদায় সহায়তা, বিনামূল্যে","एनजीओ, खाद्य सहायता, खाद्य सुरक्षा, सामुदायिक सहायता, मुफ्त",Sokongan lain,अन्य सहयोग,অন্যান্য সমর্থন,अन्य समर्थन
Kechara Soup Kitchen Society,Other Support,ksk@kechara.com,"Non-religious community action group in Malaysia providing food distribution, basic medical aid, and counselling services to the homeless and urban poor.  ",Kuala Lumpur Federal Territory,https://kecharasoupkitchen.com/,+6012-615 0260,"17, Jalan Barat, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Monday-Friday 10:00-18:00; Saturday 14:00-22:00,Kechara Soup Kitchen Society,"NGO, food aid, medical aid, counselling, community support, free",Kechara Soup Kitchen Society,केचरा सूप किचेन सोसाइचेन (Kechara Soup Kitchen Society),কেচার স্যুপ কিচেন সোসাইটি (Kechara Soup Kitchen Society),केचारा सूप किचन सोसाइटी (Kechara Soup Kitchen Society),"মালয়েশিয়ার অ-ধর্মীয় কমিউনিটি অ্যাকশন গ্রুপ গৃহহীন ও নগর দরিদ্রদের খাদ্য বিতরণ, বেসিক চিকিত্সা সহায়তা এবং কাউন্সেলিং পরিষেবা সরবরাহ করে।","Kumpulan Tindakan Komuniti Bukan agama di Malaysia yang menyediakan pengedaran makanan, bantuan perubatan asas, dan perkhidmatan kaunseling kepada golongan miskin dan miskin di bandar.","मलेशिया में गैर-धार्मिक सामुदायिक कार्रवाई समूह बेघर और शहरी गरीबों को खाद्य वितरण, बुनियादी चिकित्सा सहायता और परामर्श सेवाएं प्रदान करता है।","मलेसियामा गैर-धार्मिक समुदाय कार्य समूहले खाद्य वितरण, आधारभूत चिकित्सा सहायता, र शहरी गरिबहरूलाई घरबारविहीन र सल्लाह सेवाहरू प्रदान गर्दै।","NGO, Bantuan Makanan, Bantuan Perubatan, Kaunseling, Sokongan Masyarakat, Percuma","एनजीओ, खाना सहायता, चिकित्सा सहायता, परामर्श, परामर्श, समुदाय समर्थन, नि: शुल्क","এনজিও, খাদ্য সহায়তা, চিকিত্সা সহায়তা, পরামর্শ, সম্প্রদায় সহায়তা, বিনামূল্যে","एनजीओ, खाद्य सहायता, चिकित्सा सहायता, परामर्श, सामुदायिक सहायता, मुफ्त",Sokongan lain,अन्य सहयोग,অন্যান্য সমর্থন,अन्य समर्थन
"Malaysian Care (Wisma Care, HQ)",Other Support,mail@malaysiancare.org,"Faith-based NGO in Malaysia supporting migrant workers and their families through community outreach, food aid, skills training, education, and advocacy for inclusion and welfare.  ",Kuala Lumpur Federal Territory,https://malaysiancare.org/,+603-9212 0162,"15, Jalan Tasik Selatan 3, Bandar Tasik Selatan, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Monday-Friday 09:00-17:30,"Malaysian Care (Wisma Care, HQ)","NGO, faith based, food aid, skills training, legal awareness, EN, MS, walk-in, appointment, no fee., free","Penjagaan Malaysia (Wisma Care, HQ)","मलेशियन हेरचाह (पोइन्ट हेरचाह, मुख्यालय) (Malaysian Care (Wisma Care, HQ))","মালয়েশিয়ান কেয়ার (ডাব্লুআইএসএমএ কেয়ার, সদর দফতর) (Malaysian Care (Wisma Care, HQ))","मलेशियाई देखभाल (विस्मा केयर, मुख्यालय) (Malaysian Care (Wisma Care, HQ))","মালয়েশিয়ায় বিশ্বাস-ভিত্তিক এনজিও অভিবাসী শ্রমিক এবং তাদের পরিবারকে সম্প্রদায় প্রচার, খাদ্য সহায়তা, দক্ষতা প্রশিক্ষণ, শিক্ষা এবং অন্তর্ভুক্তি এবং কল্যাণের পক্ষে উকিলতার মাধ্যমে সমর্থন করে।","NGO berasaskan iman di Malaysia yang menyokong pekerja asing dan keluarga mereka melalui jangkauan komuniti, bantuan makanan, latihan kemahiran, pendidikan, dan advokasi untuk kemasukan dan kebajikan.","मलेशिया में विश्वास-आधारित एनजीए, प्रवासी श्रमिकों और उनके परिवारों को सामुदायिक आउटरीच, खाद्य सहायता, कौशल प्रशिक्षण, शिक्षा और समावेश और कल्याण के लिए वकालत के माध्यम से समर्थन करता है।","आप्रवासी कामदारहरू र विदेशारेन्ट मजदुरहरू र सामुदायिक क्रियाकलाप, खाद्य सहायता सहायता, खाद्य सहायता, शिक्षा र कल्याणको लागि वकालत गर्नका लागि उनीहरूको परिवारलाई समर्थन गर्दै।","NGO, Berasaskan Iman, Bantuan Makanan, Latihan Kemahiran, Kesedaran Undang-Undang, En, MS, Walk-In, Pelantikan, Tiada Bayaran., Percuma","एनजीओ, विश्वास आधारित, खाद्य सहायता, सीपहरू, कानूनी जागरूकता, कानूनी जागरूकता, एमएस, हिड-इन, अपोइन्टमेन्ट, नि: शुल्क","এনজিও, বিশ্বাস ভিত্তিক, খাদ্য সহায়তা, দক্ষতা প্রশিক্ষণ, আইনী সচেতনতা, এন, এমএস, ওয়াক-ইন, অ্যাপয়েন্টমেন্ট, কোনও ফি নেই।, বিনামূল্যে","एनजीओ, विश्वास आधारित, खाद्य सहायता, कौशल प्रशिक्षण, कानूनी जागरूकता, एन, एमएस, वॉक-इन, नियुक्ति, कोई शुल्क नहीं।",Sokongan lain,अन्य सहयोग,অন্যান্য সমর্থন,अन्य समर्थन
Malaysian Red Crescent Society (Kedah),Health & Wellbeing,kedah@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Kedah,https://redcrescent.org.my/,+604-720 9980,"JKR 155, Bangunan Muafakat, Bakar Bata, Lebuhraya Darul Aman, 05000 Alor Setar","No information available, contact for more detail",Malaysian Red Crescent Society (Kedah),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Kedah),मलेशियन रेड स्मारर्सेन्ट सोसाइज (केदार) (Malaysian Red Crescent Society (Kedah)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (কেদা) (Malaysian Red Crescent Society (Kedah)),मलेशियाई रेड क्रिसेंट सोसाइटी (केदाह) (Malaysian Red Crescent Society (Kedah)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Kelantan),Health & Wellbeing,kelantan@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Kelantan,https://redcrescent.org.my/,+609-743 5504,"Rumah Amal Tengku Muhammad Faris Petra, Jalan Mahmud, 15200 Kota Bharu",Monday-Friday 09:00-17:00,Malaysian Red Crescent Society (Kelantan),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Kelantan),मलेशियन रेड रेफेन्टेन्ट सोसाइटी (केलनन) (Malaysian Red Crescent Society (Kelantan)),মালয়েশিয়ার রেড ক্রিসেন্ট সোসাইটি (কেলান্টান) (Malaysian Red Crescent Society (Kelantan)),मलेशियाई रेड क्रिसेंट सोसाइटी (केलंटन) (Malaysian Red Crescent Society (Kelantan)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Malacca),Health & Wellbeing,melaka@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Malacca,https://redcrescent.org.my/,+606-281 7376,"No. 12, Bukit Peringgit, 75150 Melaka",Monday-Friday 09:00-17:00,Malaysian Red Crescent Society (Malacca),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Melaka),मलेशियन रेड रेफेन्ट सोसाइज (मलाकी) (Malaysian Red Crescent Society (Malacca)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (মালাক্কা) (Malaysian Red Crescent Society (Malacca)),मलेशियाई रेड क्रिसेंट सोसाइटी (मलक्का) (Malaysian Red Crescent Society (Malacca)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Negeri Sembilan),Health & Wellbeing,n.sembilan@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Negeri Sembilan,https://redcrescent.org.my/,+606-763 9097,"No. 3, Jalan Dr Krishnan, 70000 Seremban",Monday-Friday 09:00-17:00,Malaysian Red Crescent Society (Negeri Sembilan),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Negeri Sembilan),मलेशियन रेड स्मारर्सेन्ट सोसाइटी (NEGREREI SEMMMMALIN) (Malaysian Red Crescent Society (Negeri Sembilan)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (নেগেরি সেম্বিলান) (Malaysian Red Crescent Society (Negeri Sembilan)),मलेशियाई रेड क्रिसेंट सोसाइटी (नेगेरी सेम्बिलन) (Malaysian Red Crescent Society (Negeri Sembilan)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Perlis),Health & Wellbeing,perlis@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Perlis,https://redcrescent.org.my/,+604-977 9477,"JKR 323, Jalan Cempaka, 01000 Kangar","No information available, contact for more detail",Malaysian Red Crescent Society (Perlis),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Masyarakat Bulan Sabit Merah Malaysia (Perlis),मलेशियन रेड क्रोस्चरसम्बन्धी समाज (पेरिलिस) (Malaysian Red Crescent Society (Perlis)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (পার্লিস) (Malaysian Red Crescent Society (Perlis)),मलेशियाई रेड क्रिसेंट सोसाइटी (पर्लिस) (Malaysian Red Crescent Society (Perlis)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Penang),Health & Wellbeing,p.pinang@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Penang,https://redcrescent.org.my/,+604-827 5678,"No.26, Jalan Grove, 11400 Pulau Pinang",Monday-Friday 09:00-18:00,Malaysian Red Crescent Society (Penang),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Pulau Pinang),मलेशियन रेड स्क्र्याश्चरासौं सोसाइटी (पेना ang) (Malaysian Red Crescent Society (Penang)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (পেনাং) (Malaysian Red Crescent Society (Penang)),मलेशियाई रेड क्रिसेंट सोसाइटी (पेनांग) (Malaysian Red Crescent Society (Penang)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Pahang),Health & Wellbeing,pahang@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Pahang,https://redcrescent.org.my/,+609-516 5243,"JKR 121, Jalan Gambut, 25000 Kuantan",24hr,Malaysian Red Crescent Society (Pahang),"NGO, first aid, ambulance, disaster relief, blood donation, training, free, 24/7",Persatuan Bulan Sabit Merah Malaysia (Pahang),मलेशियन रेड रेफेन्ट सोसाइज (Pahang) (Malaysian Red Crescent Society (Pahang)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (পাহাং) (Malaysian Red Crescent Society (Pahang)),मलेशियाई रेड क्रिसेंट सोसाइटी (पहांग) (Malaysian Red Crescent Society (Pahang)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma, 24/7","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, रक्तदान, प्रशिक्षण, नि: शुल्क, 2 // 7","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে, 24/7","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुफ्त, 24/7",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Perak),Health & Wellbeing,perak@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Perak,https://redcrescent.org.my/,+605-546 6159,"Lot. No 4890N, Jalan Komplek Sukan, Berhampiran Stadium Perak, 31400 Ipoh","No information available, contact for more detail",Malaysian Red Crescent Society (Perak),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Perak),मलेशियन रेड रेफेन्ट सोसाइटी (पेराक) (Malaysian Red Crescent Society (Perak)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (পেরাক) (Malaysian Red Crescent Society (Perak)),मलेशियाई रेड क्रिसेंट सोसाइटी (पेरक) (Malaysian Red Crescent Society (Perak)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Doctors Without Borders,Health & Wellbeing,info@apac.msf.org,"Medical care and outreach for undocumented migrants in Malaysia, with mobile clinics, referrals and mental-health support.",Penang,https://doctorswithoutborders-apac.org/en,No contact number,Mobile clinics - locations vary by schedule across Penang (see programme notices).,Clinic schedules announced online,Doctors Without Borders/Mdecins Sans Frontires (MSF) (Doctors Without Borders),"NGO, mobile clinic, community health, refugees, asylum seekers, undocumented, mental health, outreach, free",Doctors Without Borders,सीमावर्तीहरू बिना डाक्टरहरू / M प्रतियोगिजन एसएएस एसन्सी रिज (एमएसएफ) (MSF) (सीमाविहीन बिना डाक्टर) (Doctors Without Borders),বর্ডারস/এম ব্যতীত ডাক্তাররা স্যানস ফ্রন্টি রেজ (এমএসএফ) (ডাক্তার ব্যতীত সীমান্ত) (Doctors Without Borders),डॉक्टर्स विदाउट बॉर्डर्स/एम डिसिंस सैंस फ्रंटि रेस (एमएसएफ) (डॉक्टर्स विदाउट बॉर्डर्स) (Doctors Without Borders),"মোবাইল ক্লিনিক, রেফারেল এবং মানসিক-স্বাস্থ্য সহায়তা সহ মালয়েশিয়ায় অনিবন্ধিত অভিবাসীদের জন্য চিকিত্সা যত্ন এবং প্রচার।","Penjagaan perubatan dan jangkauan untuk pendatang tanpa izin di Malaysia, dengan klinik mudah alih, rujukan dan sokongan kesihatan mental.","मोबाइल क्लीनिक, रेफरल और मानसिक-स्वास्थ्य समर्थन के साथ मलेशिया में अनिर्दिष्ट प्रवासियों के लिए चिकित्सा देखभाल और आउटरीच।","मेडिकल हेरचाह र मलेसियामा अन्डुजेटेड प्रवासीहरू, मोबाइल क्लिनिक, मोबाइल क्लिनिक, रेफरल र मानसिक स्वास्थ्य समर्थन।","NGO, Klinik Mudah Alih, Kesihatan Komuniti, Pelarian, Pencari Asylum, Undocumented, Kesihatan Mental, Jangkauan, Percuma","एनजीओ, मोबाइल क्लिनिक, सामुदायिक स्वास्थ्य, शरणार्थीहरू, शरणार्थी खोजीहरू, अन्डरकुलेन्ड, मानसिक स्वास्थ्य, नि: शुल्क","এনজিও, মোবাইল ক্লিনিক, কমিউনিটি হেলথ, শরণার্থী, আশ্রয়প্রার্থী, অনিবন্ধিত, মানসিক স্বাস্থ্য, প্রচার, বিনামূল্যে","एनजीओ, मोबाइल क्लिनिक, सामुदायिक स्वास्थ्य, शरणार्थी, शरण चाहने वाले, अनिर्दिष्ट, मानसिक स्वास्थ्य, आउटरीच, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
